symbol,avg_volume,avg_value,data_days
TLG,558349.4,30420201.50033333,785
VGC,672126.7666666667,29256508.016666666,785
CTR,331173.3333333333,28919294.333333332,785
HVN,1030750.0,28567903.333333332,785
BMP,156683.53333333333,26524953.030000005,785
CTS,751443.3333333334,26047386.833333332,785
VC3,940430.0,25781276.666666668,785
AAA,3053136.6666666665,25615261.966666665,785
HUT,1492503.3333333333,25218917.666666668,785
BVH,435970.9666666667,23602473.69333333,785
SCR,2919496.6666666665,23487693.566666666,785
REE,353180.0,22765323.666666668,785
DPG,532123.3333333334,22737605.0,785
OCB,1844976.6666666667,22620465.5,785
VTZ,1192776.6666666667,22145315.666666668,785
QCG,1363606.6666666667,21724666.833333332,785
LCG,2052876.6666666667,21606082.166666668,785
YEG,1676916.6666666667,21315129.5,785
BCG,6528900.0,21312563.866666667,785
PAN,744850.0,20759043.666666668,785
KSB,1123446.6666666667,20731399.666666668,785
NAB,1429736.6666666667,20573169.5,785
ROS,7132076.666666667,20471234.0,785
DDV,766683.3333333334,20373063.666666668,785
HQC,6161536.666666667,19620925.266666666,785
NAF,564483.3333333334,19366758.0,785
HHS,1382646.6666666667,19263726.666666668,785
MST,2786280.0,17853181.333333332,785
DPR,463386.6666666667,17731822.166666668,785
SIP,315668.0333333333,17533993.190666668,785
BSI,443866.6666666667,17490665.0,785
SBT,696966.6666666666,17364332.333333332,785
FCN,1102765.5333333334,17193256.064666666,785
ELC,745633.3333333334,17011016.333333332,785
NT2,710770.0,16909934.0,785
HHP,1394516.6666666667,16731432.333333334,785
DXS,1643570.0,16044648.166666666,785
SCS,296303.4666666667,15564110.760333335,785
VDS,849013.3333333334,15304778.0,785
AAS,1561436.6666666667,14956095.666666666,785
KOS,383860.0,14804428.0,785
VEA,411697.5333333333,14541923.741666667,785
MSH,413972.26666666666,14490077.261333333,785
KDC,274813.3333333333,14362581.0,785
PHR,249510.0,14177569.0,785
ORS,1016073.3333333334,13931623.666666666,785
BVB,1014186.6666666666,13547411.0,785
BCM,207616.66666666666,13535381.333333334,785
TNG,701364.2333333333,13372340.906666666,785
MZG,1236013.3333333333,13304508.0,282
CSV,428540.0,12959648.0,785
VGS,465796.6666666667,12902362.666666666,785
HNG,2158786.6666666665,12778660.0,785
NTL,719108.5666666667,12336332.470666666,785
HID,1543553.3333333333,12277134.0,785
VOS,927376.6666666666,12136569.333333334,785
NTP,185103.33333333334,11897787.0,785
SZC,379210.0,11801408.833333334,785
FIT,2296796.6666666665,11801236.466666667,785
LDG,2492300.0,11536793.833333334,785
C4G,1300620.0,11224283.666666666,785
TTF,2955480.0,10627353.566666666,785
CDC,393380.0,10195230.833333334,785
AGR,633383.3333333334,10077911.833333334,785
